date	totalPosts	video	audio	text	photo	time
20140408	3	1	0	1	1	0
20140409	1	0	0	0	1	0
20140415	1	0	0	0	1	0
20140420	1	1	0	0	0	0
20140421	1	1	0	0	0	0
20140422	1	0	0	0	1	0
20140429	1	0	0	1	0	0
20140506	1	0	0	0	1	0
20140509	1	0	0	0	1	0
20140515	3	0	0	0	3	0
20140516	2	1	0	0	1	0
20140517	1	0	0	0	1	0
20140518	1	0	0	0	1	0
20140519	3	0	0	0	3	0
20140520	2	0	0	0	2	0
20140521	1	0	0	0	1	0
20140522	7	1	0	3	3	0
20140523	18	1	0	13	4	0
20140524	2	1	0	1	0	0
20140525	2	1	0	1	0	0
20140526	2	0	0	1	1	0
20140527	1	0	0	1	0	0
20140528	2	0	0	1	1	0
20140529	7	0	0	5	2	0
20140530	15	0	0	12	3	0
20140531	4	0	0	2	2	0
20140601	3	1	1	0	1	0
20140602	3	0	0	0	3	0
20140603	7	1	1	3	2	0
20140604	2	0	0	0	2	0
20140605	6	2	0	1	3	0
20140606	5	0	0	1	4	0
20140610	2	1	0	1	0	0
20140611	5	0	0	2	3	0
20140612	6	2	0	3	1	0
20140613	10	0	0	8	2	0
20140614	2	0	0	2	0	0
20140615	1	0	0	0	1	0
20140616	3	0	0	0	3	0
20140617	7	1	2	2	2	0
20140619	3	0	0	1	2	0
20140620	8	0	0	5	3	0
20140621	4	0	0	3	1	0
