date	totalPosts	video	audio	text	photo	time
20140510	1	0	0	1	0	0
20140512	2	0	0	1	1	0
20140513	2	1	0	0	1	0
20140514	2	0	0	2	0	0
20140515	6	1	0	2	3	0
20140516	2	0	0	0	2	0
20140518	3	0	0	2	1	0
20140519	5	0	0	3	2	0
20140520	1	0	0	1	0	0
20140521	4	0	0	1	3	0
20140522	5	0	0	2	3	0
20140523	4	1	0	2	1	0
20140524	6	0	0	2	4	0
20140525	4	0	0	2	2	0
20140526	3	0	0	3	0	0
20140527	1	0	0	0	1	0
20140528	6	2	0	3	1	0
20140529	14	1	0	3	10	0
20140530	26	1	0	19	6	0
20140531	10	1	0	5	4	0
20140601	7	0	0	1	6	0
20140602	6	0	0	1	5	0
20140603	7	0	0	6	1	0
20140604	4	0	0	3	1	0
20140605	8	1	0	2	5	0
20140606	11	0	0	7	4	0
20140607	7	0	0	4	3	0
20140608	4	1	0	0	3	0
20140609	5	0	0	1	4	0
20140610	4	0	0	1	3	0
20140611	1	0	0	1	0	0
20140612	5	1	0	1	3	0
20140613	23	0	0	13	10	0
20140614	12	1	0	6	5	0
20140615	4	1	0	1	2	0
20140616	5	0	0	2	3	0
20140617	7	1	0	3	3	0
20140618	3	1	0	1	1	0
20140619	7	2	0	2	3	0
20140620	15	1	0	5	9	0
20140621	4	0	0	1	3	0
20140622	4	1	0	1	2	0
