date	totalPosts	video	audio	text	photo	time
20140515	4	0	0	1	3	0
20140516	6	0	0	2	4	0
20140517	6	0	0	3	3	0
20140518	1	0	0	0	1	0
20140519	4	0	0	1	3	0
20140520	4	0	0	0	4	0
20140521	7	0	0	3	4	0
20140522	11	3	0	4	4	0
20140523	4	0	0	3	1	0
20140524	4	0	0	1	3	0
20140525	10	1	0	1	8	0
20140526	4	1	0	1	2	0
20140527	7	1	0	2	4	0
20140528	9	2	0	2	5	0
20140529	8	0	0	5	3	0
20140530	23	0	0	15	8	0
20140531	82	3	0	50	29	0
20140601	36	0	0	23	13	0
20140602	21	1	0	9	11	0
20140603	16	0	0	6	10	0
20140604	14	0	1	4	9	0
20140605	9	0	0	4	5	0
20140606	16	0	0	8	8	0
20140607	37	0	0	27	10	0
20140608	18	0	0	9	9	0
20140609	13	0	0	5	8	0
20140610	6	0	0	3	3	0
20140611	7	0	0	2	5	0
20140612	8	1	0	1	6	0
20140613	11	0	0	3	8	0
20140614	9	0	0	9	0	0
20140615	6	0	0	1	5	0
20140616	12	1	0	4	7	0
20140617	9	1	0	1	7	0
20140618	3	0	0	2	1	0
20140619	3	0	0	1	2	0
20140620	12	1	0	3	8	0
20140621	27	0	0	20	7	0
20140622	14	0	0	4	10	0
